"","Company.Names","Cars.Names","Engines","CC.Battery.Capacity","HorsePower","Total.Speed","Performance.0...100..KM.H","Cars.Prices","Fuel.Types","Seats","Torque","BodyType","MPG","FuelTank"
"261","Volkswagen","Touareg R","Plug-in Hybrid V6","2995 cc","462 hp","250 km/h","5.1 sec","$70,000 ","Hybrid","5","700 Nm","SUV","25","20.0"
"262","Volkswagen","Multivan","Plug-in Hybrid / Diesel I4","1395 cc / 1968 cc","150 - 218 hp","190 km/h","9.4 sec","$50,000 ","Petrol","7","350 Nm","Van","35","22.0"
"263","Nissan","Versa","1.6L Inline-4","1598 cc","122 HP","180 km/h","10.4 sec","$16,700 ","Petrol","5","154 Nm","Sedan","35","13.2"
"264","Nissan","Micra","1.0L Turbocharged Inline-3","999 cc","100 HP","175 km/h","10.8 sec","$15,500 ","Petrol","5","160 Nm","Hatchback","55","10.6"
"265","Nissan","Patrol Platinum","5.6L V8","5552 cc","400 HP","210 km/h","7.3 sec","$77,000 ","Petrol","7","560 Nm","SUV","14","28.0"
"266","Nissan","Qashqai","1.3L Turbocharged Inline-4","1332 cc","156 HP","195 km/h","8.9 sec","$26,000 ","Petrol","5","260 Nm","SUV","40","13.2"
"267","Nissan","Murano","3.5L V6","3498 cc","260 HP","210 km/h","7.5 sec","$39,000 ","Petrol","5","325 Nm","SUV","26","19.5"
"268","Nissan","Maxima Platinum","3.5L V6","3498 cc","300 HP","220 km/h","6.2 sec","$45,000 ","Petrol","5","353 Nm","Sedan","26","18.5"
"269","Nissan","Armada","5.6L V8","5552 cc","400 HP","210 km/h","6.5 sec","$51,000 ","Petrol","8","560 Nm","SUV","18","26.0"
"270","Nissan","Kicks","1.6L Inline-4","1598 cc","122 HP","180 km/h","10.7 sec","$20,000 ","Petrol","5","154 Nm","SUV","33","12.4"
"271","Nissan","X-Trail","1.5L Turbocharged Inline-3","1498 cc","201 HP","200 km/h","8.0 sec","$29,000 ","Hybrid","5","305 Nm","SUV","30","14.5"
"272","Nissan","Z (Fairlady Z)","3.0L Twin-Turbo V6","2997 cc","400 HP","250 km/h","4.5 sec","$40,000 ","Petrol","2","475 Nm","Coupe","24","16.0"
