"","Company.Names","Cars.Names","Engines","CC.Battery.Capacity","HorsePower","Total.Speed","Performance.0...100..KM.H","Cars.Prices","Fuel.Types","Seats","Torque","BodyType","MPG","FuelTank"
"380","Tesla","Model 3 Performance","Dual Electric Motors (AWD)","82 kWh","450 hp","261 km/h","3.1 sec","$53,240 ","Electric","5","660 Nm","SUV","0","0"
"381","Tesla","Model X","Dual Electric Motors (AWD)","100 kWh","670 hp","250 km/h","3.8 sec","$98,490 ","Electric","7","967 Nm","SUV","0","0"
"382","Tesla","Model X Plaid","Tri Electric Motors","100 kWh","1,020 hp","262 km/h","2.6 sec","$113,490 ","Electric","6","1,400 Nm","SUV","0","0"
"383","Tesla","Model Y","Single Electric Motor (RWD)","75 kWh","346 hp","217 km/h","5.0 sec","$47,490 ","Electric","5","498 Nm","SUV","0","0"
"384","Tesla","Model Y Long Range","Dual Electric Motors (AWD)","82 kWh","384 hp","217 km/h","4.8 sec","$50,490 ","Electric","5","559 Nm","Truck","0","0"
"385","Tesla","Cybertruck","Tri Electric Motors","200 kWh","800 hp","209 km/h","2.9 sec","$69,900 ","Electric","6","1,355 Nm","Coupe","0","0"
"386","Tesla","Roadster 2","Quad Electric Motors","200 kWh","1,288 hp","402 km/h","1.9 sec","$200,000 ","Electric","4","10,000 Nm","SUV","0","0"
"387","Jeep","Wrangler","3.6L V6 Pentastar Gasoline","3600 cc","285 hp","180 km/h","6.8 sec","$35,195 ","Petrol","4","353 Nm","SUV","20","17.5"
"388","Jeep","Wrangler Rubicon","2.0L Turbo I4 Gasoline","2000 cc","270 hp","180 km/h","7.1 sec","$42,100 ","Petrol","4","400 Nm","SUV","18","17.5"
"389","Jeep","Grand Cherokee","3.6L V6 Pentastar Gasoline","3600 cc","293 hp","209 km/h","7.0 sec","$41,530 ","Petrol","5","352 Nm","SUV","21","23"
"390","Jeep","Grand Cherokee L","3.6L V6 Pentastar Gasoline","3600 cc","293 hp","209 km/h","7.2 sec","$43,530 ","Petrol","7","352 Nm","SUV","20","23"
"391","Jeep","Cherokee","2.4L I4 Tigershark Gasoline","2400 cc","180 hp","195 km/h","8.5 sec","$37,695 ","Petrol","5","230 Nm","SUV","24","15.8"
"392","Jeep","Compass","2.0L Turbo Gasoline","2000 cc","200 hp","200 km/h","7.8 sec","$31,590 ","Petrol","5","320 Nm","SUV","27","13.5"
"393","Jeep","Renegade","1.3L Turbo I4 Gasoline","1300 cc","177 hp","200 km/h","8.7 sec","$28,345 ","Petrol","5","285 Nm","Truck","26","12.7"
"394","Jeep","Gladiator","3.6L V6 Pentastar Gasoline","3600 cc","285 hp","177 km/h","8.1 sec","$38,775 ","Petrol","5","353 Nm","SUV","19","22"
"395","Jeep","Wagoneer","5.7L V8 Gasoline with eTorque","5700 cc","392 hp","190 km/h","7.4 sec","$63,595 ","Petrol","8","548 Nm","SUV","17","26.5"
"396","Mazda","Mazda2","1.5L 4-Cylinder","1,500 cc","108 hp","180 km/h","10.2 sec","$17,000 ","Petrol","5","142 Nm","SUV","32","11.3"
"397","Jeep","Wagoneer S (Electric)","Dual Electric Motors","100 kWh","600 hp","177 km/h","4.5 sec","$80,000 ","Electric","5","850 Nm","Truck","0","0"
"398","Jeep","Gladiator Mojave Edition","3.6L V6 Pentastar Gasoline","3600 cc","285 hp","177 km/h","8.6 sec","$51,570 ","Petrol","5","353 Nm","SUV","18","22"
"399","Jeep","Grand Cherokee Summit Reserve","5.7L V8 Gasoline","5700 cc","357 hp","190 km/h","7.3 sec","$66,575 ","Petrol","5","529 Nm","SUV","21","23"
"400","Jeep","Jeep Cherokee X Edition","3.2L V6 Pentastar Gasoline","3200 cc","271 hp","195 km/h","7.6 sec","$41,295 ","Petrol","5","324 Nm","SUV","23","15.8"
"401","Jeep","Wrangler 392","6.4L V8 HEMI Gasoline","6400 cc","470 hp","160 km/h","4.5 sec","$82,495 ","Petrol","4","637 Nm","SUV","14","21.5"
"402","Cadillac","XT4","2.0L Turbo Inline-4 Gasoline","2000 cc","235 hp","220 km/h","7.6 sec","$37,490 ","Petrol","5","350 Nm","SUV","26","15.9"
"403","Cadillac","XT5","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","6.5 sec","$44,195 ","Petrol","5","366 Nm","SUV","22","19"
"404","Cadillac","XT6","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","6.9 sec","$48,595 ","Petrol","7","366 Nm","SUV","21","19"
"405","Cadillac","Lyriq EV","Single Electric Motor","100 kWh","340 hp","190 km/h","5.7 sec","$58,590 ","Electric","5","440 Nm","SUV","0","0"
"406","Cadillac","Escalade V","6.2L Supercharged V8 Gasoline","6200 cc","682 hp","200 km/h","4.4 sec","$149,990 ","Petrol","7","885 Nm","SUV","13","24"
"407","Cadillac","Escalade Platinum","6.2L V8 Gasoline","6200 cc","420 hp","210 km/h","6.8 sec","$104,595 ","Petrol","7","624 Nm","Sedan","15","24"
"408","Cadillac","CT5-V Blackwing","6.2L Supercharged V8 Gasoline","6200 cc","668 hp","320 km/h","3.4 sec","$92,000 ","Petrol","5","893 Nm","Sedan","15","17"
"409","Cadillac","CT4-V Blackwing","3.6L Twin-Turbo V6 Gasoline","3600 cc","472 hp","290 km/h","3.9 sec","$60,495 ","Petrol","5","603 Nm","SUV","18","17"
"410","Cadillac","XT4 Sport","2.0L Turbo Inline-4 Gasoline","2000 cc","235 hp","220 km/h","7.4 sec","$41,390 ","Petrol","5","350 Nm","SUV","26","15.9"
"411","Cadillac","XT5 Sport","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","6.5 sec","$51,095 ","Petrol","5","366 Nm","SUV","22","19"
"412","Cadillac","XT6 Sport","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","6.9 sec","$57,095 ","Petrol","7","366 Nm","SUV","21","19"
"413","Cadillac","Lyriq Launch Edition","Single Electric Motor","100 kWh","340 hp","190 km/h","5.7 sec","$59,990 ","Electric","5","440 Nm","SUV","0","0"
"414","Cadillac","Lyriq EV Premium","Dual Electric Motors","100 kWh","500 hp","210 km/h","4.5 sec","$64,990 ","Electric","5","620 Nm","Sedan","0","0"
"415","Cadillac","CT5 Premium Luxury","2.0L Turbo Inline-4 Gasoline","2000 cc","237 hp","240 km/h","6.8 sec","$41,290 ","Petrol","5","350 Nm","Hatchback","27","17"
"416","Chevrolet","Spark","1.4L Inline-4 Gasoline","1400 cc","98 hp","180 km/h","10.7 sec","$14,595 ","Petrol","5","127 Nm","Hatchback","33","9"
"417","Chevrolet","Sonic","1.4L Turbo Inline-4 Gasoline","1400 cc","138 hp","190 km/h","8.5 sec","$16,720 ","Petrol","5","200 Nm","Sedan","29","12.2"
"418","Chevrolet","Malibu","1.5L Turbo Inline-4 Gasoline","1500 cc","160 hp","210 km/h","8.0 sec","$25,000 ","Petrol","5","250 Nm","Coupe","30","15.8"
"419","Chevrolet","Camaro","2.0L Turbo Inline-4 Gasoline","2000 cc","275 hp","240 km/h","5.4 sec","$26,400 ","Petrol","4","400 Nm","Coupe","25","19"
"420","Chevrolet","Corvette","6.2L V8 Gasoline","6200 cc","495 hp","312 km/h","3.0 sec","$65,895 ","Petrol","2","637 Nm","SUV","19","18.5"
"421","Chevrolet","Traverse","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","7.0 sec","$35,915 ","Petrol","7","360 Nm","SUV","20","19.4"
"422","Chevrolet","Equinox","1.5L Turbo Inline-4 Gasoline","1500 cc","170 hp","200 km/h","8.9 sec","$26,600 ","Petrol","5","275 Nm","SUV","28","15.6"
"423","Chevrolet","Blazer","3.6L V6 Gasoline","3600 cc","308 hp","220 km/h","6.6 sec","$44,000 ","Petrol","5","366 Nm","SUV","22","19.4"
"424","Chevrolet","Tahoe","5.3L V8 Gasoline","5300 cc","355 hp","200 km/h","7.5 sec","$56,995 ","Petrol","7","519 Nm","SUV","17","24"
"425","Chevrolet","Suburban","5.3L V8 Gasoline","5300 cc","355 hp","190 km/h","7.6 sec","$59,900 ","Petrol","8","519 Nm","Truck","17","28"
"426","Chevrolet","Colorado","2.7L Turbo Inline-4 Gasoline","2700 cc","310 hp","190 km/h","6.8 sec","$30,695 ","Petrol","5","583 Nm","Truck","21","21"
"427","Chevrolet","Silverado 1500","5.3L V8 Gasoline","5300 cc","355 hp","180 km/h","7.0 sec","$42,795 ","Petrol","6","519 Nm","Truck","17","24"
"428","Chevrolet","Silverado 2500HD","6.6L V8 Gasoline","6600 cc","401 hp","170 km/h","8.0 sec","$41,500 ","Petrol","6","629 Nm","Truck","14","36"
"429","Chevrolet","Camaro SS","6.2L V8 Gasoline","6200 cc","455 hp","290 km/h","4.3 sec","$43,500 ","Petrol","4","617 Nm","Coupe","18","19"
"430","Chevrolet","Corvette Grand Sport","6.2L V8 Gasoline","6200 cc","460 hp","290 km/h","3.9 sec","$65,900 ","Petrol","2","630 Nm","SUV","19","18.5"
"431","Chevrolet","Traverse RS","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","7.0 sec","$43,700 ","Petrol","7","360 Nm","SUV","20","19.4"
"432","Chevrolet","Blazer Premier","3.6L V6 Gasoline","3600 cc","308 hp","220 km/h","6.6 sec","$45,000 ","Petrol","5","366 Nm","Sedan","22","19.4"
"433","Chevrolet","Malibu LT","1.5L Turbo Inline-4 Gasoline","1500 cc","160 hp","210 km/h","8.5 sec","$25,800 ","Petrol","5","250 Nm","Hatchback","30","15.8"
"434","Chevrolet","Spark Activ","1.4L Inline-4 Gasoline","1400 cc","98 hp","180 km/h","11.0 sec","$17,595 ","Petrol","5","127 Nm","SUV","33","9"
"435","Chevrolet","Trax LT","1.2L Turbo Inline-3 Gasoline","1200 cc","137 hp","200 km/h","9.2 sec","$24,100 ","Petrol","5","220 Nm","SUV","30","13.2"
"436","GMC","Terrain","1.5L Turbo 4-cylinder","1500 cc","175 hp","190 km/h","9.5 sec","$29,900 ","Petrol","5","275 Nm","SUV","23","19"
"437","GMC","Acadia","2.0L Turbo 4-cylinder","2000 cc","228 hp","200 km/h","7.8 sec","$36,800 ","Petrol","7","350 Nm","SUV","17","24"
"438","GMC","Yukon","5.3L V8 Gasoline","5300 cc","355 hp","180 km/h","7.4 sec","$57,400 ","Petrol","8","519 Nm","SUV","16","28"
"439","GMC","Yukon XL","6.2L V8 Gasoline","6200 cc","420 hp","200 km/h","6.9 sec","$61,100 ","Petrol","8","624 Nm","Truck","21","21"
"440","GMC","Canyon","2.7L Turbo 4-cylinder","2700 cc","310 hp","190 km/h","7.6 sec","$36,900 ","Petrol","5","583 Nm","Truck","17","24"
"441","GMC","Sierra 1500","5.3L V8 Gasoline","5300 cc","355 hp","180 km/h","7.3 sec","$37,100 ","Petrol","6","519 Nm","Truck","14","36"
"442","GMC","Sierra 2500HD","6.6L V8 Diesel","6600 cc","401 hp","175 km/h","7.5 sec","$43,900 ","Diesel","6","629 Nm","Truck","14","36"
"443","GMC","Sierra 3500HD","6.6L V8 Diesel","6600 cc","445 hp","175 km/h","7.4 sec","$49,000 ","Diesel","6","1234 Nm","Truck","16","34"
"444","GMC","Hummer EV Pickup","Dual-Motor Electric","212 kWh","625 hp","170 km/h","3.0 sec","$108,700 ","Electric","5","1000+ Nm","SUV","0","0"
"445","GMC","Hummer EV SUV","Dual-Motor Electric","212 kWh","625 hp","170 km/h","3.5 sec","$105,600 ","Electric","5","1000+ Nm","SUV","0","0"
"446","GMC","Yukon Denali","6.2L V8 Gasoline","6200 cc","420 hp","200 km/h","6.8 sec","$72,800 ","Petrol","8","624 Nm","Truck","16","24"
"447","GMC","Sierra Denali","6.2L V8 Gasoline","6200 cc","420 hp","190 km/h","6.7 sec","$66,800 ","Petrol","6","624 Nm","SUV","26","15.6"
"448","GMC","Terrain AT4","1.5L Turbo 4-cylinder","1500 cc","175 hp","190 km/h","9.6 sec","$36,500 ","Petrol","5","275 Nm","SUV","21","19"
"449","GMC","Acadia AT4","3.6L V6 Gasoline","3600 cc","310 hp","210 km/h","7.6 sec","$41,400 ","Petrol","6","366 Nm","Truck","16","24"
"450","GMC","Sierra 1500 AT4","5.3L V8 Gasoline","5300 cc","355 hp","180 km/h","7.4 sec","$53,800 ","Petrol","6","519 Nm","Truck","14","36"
"451","GMC","Sierra 2500HD Denali","6.6L V8 Diesel","6600 cc","401 hp","175 km/h","7.5 sec","$72,200 ","Diesel","6","1234 Nm","Truck","21","24"
"452","GMC","Sierra Elevation","2.7L Turbo 4-cylinder","2700 cc","310 hp","190 km/h","7.6 sec","$45,000 ","Petrol","5","583 Nm","Truck","21","21"
"453","GMC","Canyon AT4","2.7L Turbo 4-cylinder","2700 cc","310 hp","190 km/h","7.5 sec","$43,900 ","Petrol","5","583 Nm","Truck","21","21"
"454","GMC","Canyon Denali","2.7L Turbo 4-cylinder","2700 cc","310 hp","190 km/h","7.5 sec","$48,000 ","Petrol","5","583 Nm","SUV","16","28"
"455","GMC","Yukon XL Denali Ultimate","6.2L V8 Gasoline","6200 cc","420 hp","200 km/h","6.7 sec","$93,800 ","Petrol","8","624 Nm","SUV","26","15.6"
"456","GMC","Terrain Denali","1.5L Turbo 4-cylinder","1500 cc","175 hp","190 km/h","9.5 sec","$38,600 ","Petrol","5","275 Nm","SUV","21","19"
"457","GMC","Hummer EV Pickup Edition 1","Electric motors with up to 11,500 lb-ft torque","200 kWh","Up to 1,000 hp","170 km/h","3.0 sec","$96,550 ","Electric","5","15,590 Nm","Truck","0","0"
"458","GMC","Sierra Denali CarbonPro","6.2L V8 engine","6,162 cc","420 hp","200 km/h","5.8 sec","$65,000 ","Petrol","5","624 Nm","SUV","16","24"
"459","GMC","Yukon Denali Performance","6.2L V8 engine","6,162 cc","420 hp","210 km/h","6.0 sec","$76,805 ","Petrol","8","624 Nm","Truck","14","36"
"460","GMC","Sierra 2500HD Denali Black Edition","6.6L V8 engine","6,600 cc","401 hp","170 km/h","7.5 sec","$75,000 ","Petrol","5","629 Nm","Truck","20","21"
"461","GMC","Canyon AT4X","3.6L V6 engine","3,564 cc","308 hp","180 km/h","6.9 sec","$50,000 ","Petrol","5","373 Nm","SUV","17","28"
"462","GMC","Yukon XL SLT","5.3L V8 engine","5,327 cc","355 hp","210 km/h","7.3 sec","$65,000 ","Petrol","8","519 Nm","Truck","17","24"
"463","Kia","Rio","1.6L 4-Cylinder","1591 cc","120 hp","180 km/h","10.3 sec","$17,000 ","Petrol","5","151 Nm","Hatchback","36","11.9"
"464","Kia","Rio 5-Door","1.6L 4-Cylinder","1591 cc","120 hp","180 km/h","10.3 sec","$18,000 ","Petrol","5","151 Nm","SUV","27","13.2"
"465","Kia","Seltos Nightfall Edition","1.6L Turbocharged 4-Cylinder","1591 cc","175 hp","210 km/h","7.5 sec","$28,000 ","Petrol","5","264 Nm","Sedan","25","18.1"
"466","Peugeot","508 PSE (Peugeot Sport Engineered)","Hybrid I4 + Electric Motor","1,599 cc (petrol) + Electric Motor","360 hp","250 km/h","5.2 sec","$55,000 ","Hybrid","5","520 Nm","SUV","24","17.7"
"467","Kia","Sorento X-Line","2.5L Turbocharged 4-Cylinder","2500 cc","277 hp","220 km/h","7.0 sec","$42,000 ","Petrol","7","421 Nm","SUV","21","18.8"
"468","Kia","Telluride SX","3.8L V6","3778 cc","291 hp","240 km/h","7.0 sec","$50,000 ","Petrol","7","355 Nm","Sedan","34","14"
"469","Kia","Forte LXS","2.0L 4-Cylinder","1999 cc","147 hp","190 km/h","9.2 sec","$19,000 ","Petrol","5","179 Nm","Sedan","31","15.8"
"470","Kia","K5 EX","1.6L Turbocharged 4-Cylinder","1591 cc","180 hp","220 km/h","7.8 sec","$28,500 ","Petrol","5","264 Nm","SUV","105","11.1"
"471","Kia","Niro Plug-In Hybrid","1.6L 4-Cylinder Hybrid","1591 cc","139 hp","180 km/h","10.5 sec","$33,000 ","Hybrid","5","265 Nm","SUV","105","11.1"
"472","Kia","EV6 Wind","Electric Motor","77.4 kWh","225 hp","190 km/h","5.2 sec","$50,000 ","Electric","5","350 Nm","Hatchback","0","0"
"473","Bugatti","Chiron","8.0L Quad-Turbo W16","7993 cc","1500 hp","420 km/h","2.5 sec","$3,000,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"474","Bugatti","Chiron Pur Sport","8.0L Quad-Turbo W16","7993 cc","1500 hp","350 km/h","2.3 sec","$3,300,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"475","Bugatti","Chiron Super Sport","8.0L Quad-Turbo W16","7993 cc","1600 hp","490 km/h","2.4 sec","$3,500,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"476","Bugatti","Chiron Sport","8.0L Quad-Turbo W16","7993 cc","1500 hp","420 km/h","2.4 sec","$3,300,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"477","Bugatti","Chiron Noire","8.0L Quad-Turbo W16","7993 cc","1500 hp","420 km/h","2.5 sec","$3,300,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"478","Bugatti","Divo","8.0L Quad-Turbo W16","7993 cc","1500 hp","380 km/h","2.4 sec","$5,800,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"479","Bugatti","Centodieci","8.0L Quad-Turbo W16","7993 cc","1600 hp","380 km/h","2.4 sec","$9,000,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"480","Bugatti","La Voiture Noire","8.0L Quad-Turbo W16","7993 cc","1500 hp","420 km/h","2.5 sec","$18,000,000 ","Petrol","2","1600 Nm","Coupe","9","26.4"
"481","Bugatti","Bolide","8.0L Quad-Turbo W16","7993 cc","1850 hp","500 km/h","2.2 sec","$4,500,000 ","Petrol","2","1600 Nm","Convertible","",""
"482","Bugatti","Mistral","8.0L Quad-Turbo W16","7993 cc","1600 hp","420 km/h","2.4 sec","$5,000,000 ","Petrol","2","1600 Nm","Truck","10","26"
"483","Jaguar Land Rover","Jaguar F-Type","V6 / V8 Petrol","2995 cc (V6)","335 hp","260 km/h","5.1 sec","$70,000 ","Petrol","2","450 Nm","Sedan","20","16"
"484","Jaguar Land Rover","Jaguar XE","I4 Petrol","1999 cc (I4)","250 hp","250 km/h","6.5 sec","$45,000 ","Petrol","5","365 Nm","Sedan","28","16"
"485","Jaguar Land Rover","Jaguar XF","I4 Petrol","1999 cc (I4)","250 hp","250 km/h","6.5 sec","$50,000 ","Petrol","5","365 Nm","Sedan","27","19"
"486","Jaguar Land Rover","Jaguar F-Type V8 R","V8 Petrol","5000 cc (V8)","550 hp","300 km/h","3.9 sec","$100,000 ","Petrol","2","680 Nm","Coupe","18","16"
"487","Jaguar Land Rover","Jaguar F-Type R-Dynamic","I4 Petrol / V6 Petrol","1999 cc (I4) / 2995 cc (V6)","300 hp","250 km/h","5.1 sec","$70,000 ","Petrol","2","400 Nm","Sedan","24","16"
"488","Jaguar Land Rover","Jaguar XE P300 R-Dynamic","I4 Petrol","1999 cc (I4)","300 hp","250 km/h","5.5 sec","$55,000 ","Petrol","5","400 Nm","Wagon","25","16"
"489","Jaguar Land Rover","Jaguar XF Sportbrake","I4 Petrol / V6 Petrol","1999 cc (I4) / 2995 cc (V6)","250 hp","250 km/h","6.5 sec","$60,000 ","Petrol","5","400 Nm","SUV","24","19"
"490","Jaguar Land Rover","Jaguar I-PACE EV400 HSE","Electric (Dual Motor)","90 kWh (Battery)","400 hp","200 km/h","4.5 sec","$85,000 ","Electric","5","696 Nm","SUV","0","0"
"491","Jaguar Land Rover","Jaguar F-PACE S 30t AWD","I4 Petrol","1999 cc (I4)","247 hp","225 km/h","6.4 sec","$60,000 ","Petrol","5","365 Nm","SUV","23","21"
"492","Jaguar Land Rover","Jaguar E-PACE R-Dynamic","I4 Petrol","1999 cc (I4)","246 hp","230 km/h","6.8 sec","$55,000 ","Petrol","5","430 Nm","Sedan","23","18"
"493","Jaguar Land Rover","Jaguar XJ50","V6 Petrol","2995 cc (V6)","300 hp","250 km/h","6.0 sec","$80,000 ","Petrol","5","400 Nm","Coupe","20","21"
"494","Jaguar Land Rover","Jaguar F-Type 75th Anniversary Edition","V8 Petrol","5000 cc (V8)","550 hp","300 km/h","3.9 sec","$100,000 ","Petrol","2","680 Nm","SUV","18","16"
"495","Jaguar Land Rover","Jaguar F-PACE S AWD","I4 Petrol / V6 Petrol","1999 cc (I4) / 2995 cc (V6)","340 hp","250 km/h","5.4 sec","$65,000 ","Petrol","5","480 Nm","Sedan","23","21"
"496","Jaguar Land Rover","Jaguar XE SE","I4 Petrol","1999 cc (I4)","250 hp","240 km/h","6.2 sec","$50,000 ","Petrol","5","365 Nm","Convertible","28","16"
"497","Jaguar Land Rover","Jaguar F-Type V6 S Convertible","V6 Petrol","2995 cc (V6)","380 hp","280 km/h","4.8 sec","$80,000 ","Petrol","2","460 Nm","Sedan","20","16"
"498","Jaguar Land Rover","Jaguar XE R-Sport AWD","I4 Petrol / V6 Petrol","1999 cc (I4) / 2995 cc (V6)","300 hp","250 km/h","5.5 sec","$55,000 ","Petrol","5","400 Nm","Sedan","26","16"
"499","Jaguar Land Rover","Jaguar XF Portfolio AWD","I4 Petrol / V6 Petrol","1999 cc (I4) / 2995 cc (V6)","340 hp","250 km/h","5.4 sec","$60,000 ","Petrol","5","450 Nm","Coupe","26","19"
"500","Jaguar Land Rover","Jaguar F-Type Coupe R","V8 Petrol","5000 cc (V8)","550 hp","300 km/h","3.9 sec","$100,000 ","Petrol","2","680 Nm","SUV","18","16"
"501","Jaguar Land Rover","Jaguar I-PACE First Edition","Electric (Dual Motor)","90 kWh (Battery)","400 hp","200 km/h","4.5 sec","$85,000 ","Electric","5","696 Nm","SUV","0","0"
"502","Jaguar Land Rover","Jaguar F-PACE Prestige AWD","I4 Petrol / V6 Petrol","1999 cc (I4) / 2995 cc (V6)","340 hp","250 km/h","5.4 sec","$65,000 ","Petrol","5","480 Nm","Sedan","23","21"
"503","Acura","NSX Type S","Twin-Turbo V6 Hybrid","3,493 cc (V6)","600 hp","307 km/h","2.9 sec","$157,000 ","Hybrid","2","666 Nm","Sedan","21","15"
"504","Acura","TLX PMC Edition","V6","3,500 cc (V6)","290 hp","250 km/h","5.7 sec","$62,000 ","Petrol","5","362 Nm","SUV","23","17"
"505","Acura","MDX Advance","V6","3,500 cc (V6)","290 hp","190 km/h","6.0 sec","$60,000 ","Petrol","7","362 Nm","SUV","21","19"
"506","Acura","RDX Technology","I4 Turbocharged","1,500 cc (I4)","272 hp","210 km/h","6.6 sec","$45,000 ","Petrol","5","400 Nm","Sedan","24","17"
"507","Acura","ILX Premium","I4","2,400 cc (I4)","201 hp","200 km/h","6.6 sec","$30,000 ","Petrol","5","180 Nm","Sedan","28","13"
"508","Acura","TLX A-Spec","V6","3,500 cc (V6)","290 hp","250 km/h","5.7 sec","$50,000 ","Petrol","5","362 Nm","SUV","23","17"
"509","Acura","RDX SH-AWD","I4 Turbocharged","1,500 cc (I4)","272 hp","210 km/h","6.6 sec","$50,000 ","Petrol","5","400 Nm","SUV","23","17"
"510","Acura","MDX SH-AWD","V6","3,500 cc (V6)","290 hp","190 km/h","6.0 sec","$55,000 ","Petrol","7","362 Nm","SUV","21","19"
"511","Acura","RDX Platinum Elite","I4 Turbocharged","1,500 cc (I4)","272 hp","210 km/h","6.6 sec","$55,000 ","Petrol","5","400 Nm","Sedan","24","17"
"512","Acura","TLX A-Spec Sedan","V6","3,500 cc (V6)","290 hp","250 km/h","5.7 sec","$50,000 ","Petrol","5","362 Nm","Sedan","23","17"
"513","Acura","TLX 2.4L","Inline-4","2,400 cc","206 hp","210 km/h","6.0 sec","$35,000 ","Petrol","5","247 Nm","SUV","28","17"
"514","Acura","MDX Hybrid","V6 Hybrid","3,500 cc","321 hp","190 km/h","6.0 sec","$55,000 ","Hybrid","7","335 Nm","SUV","27","19"
"515","Acura","RDX Hybrid","Inline-4 Hybrid","1,500 cc","247 hp","210 km/h","6.6 sec","$50,000 ","Hybrid","5","400 Nm","Sedan","28","17"
"516","Acura","ILX Technology Package","Inline-4","2,400 cc","201 hp","200 km/h","6.6 sec","$30,000 ","Petrol","5","180 Nm","Coupe","28","13"
"517","Acura","NSX GT3 (Track Version)","Twin-Turbo V6 Hybrid","3,493 cc","500 hp","300 km/h","3.0 sec","$150,000 ","Hybrid","2","600 Nm","SUV","0","0"
"518","Ford","Fusion (Mondeo)","1.5L EcoBoost / 2.0L Hybrid","1,500 - 2,000 cc","160 - 250 hp","220 km/h","7.5 sec","25,000","Petrol","5","200 - 400 Nm","Sedan","28","16"
"519","Ford","Taurus","3.5L V6 / 2.0L EcoBoost","2,000 - 3,500 cc","200 - 365 hp","220 km/h","6.5 sec","$30,000 ","Petrol","5","300 - 500 Nm","Sedan","23","18"
"520","Ford","Fiesta","1.0L EcoBoost / 1.5L","1,000 - 1,500 cc","85 - 200 hp","200 km/h","7.0 sec","$15,000 ","Petrol","5","130 - 290 Nm","Hatchback","32","12"
"521","Ford","Focus","1.0L EcoBoost / 1.5L / 2.0L","1,000 - 2,000 cc","120 - 300 hp","220 km/h","6.5 sec","$20,000 ","Petrol","5","150 - 400 Nm","Hatchback","30","12"
"522","Ford","KA+","1.2L Petrol","1,200 cc","70 - 85 hp","165 km/h","10.5 sec","$12,000 ","Petrol","5","100 - 140 Nm","Hatchback","33","12"
"523","Ford","EcoSport","1.0L Turbo Inline-3 / 2.0L","1,000 - 2,000 cc","123 - 166 hp","180 km/h","9.0 sec","$20,000 ","Petrol","5","170 - 200 Nm","SUV","26","13"
"524","Ford","Escape (Kuga)","1.5L EcoBoost / 2.5L Hybrid","1,500 - 2,500 cc","181 - 200 hp","190 km/h","7.5 sec","$25,000 ","Petrol","5","230 - 200 Nm","SUV","28","15"
"525","Ford","Edge","2.0L EcoBoost / 2.7L V6","2,000 - 2,700 cc","250 - 335 hp","200 km/h","6.5 sec","$35,000 ","Petrol","5","400 - 475 Nm","SUV","23","18"
"526","Ford","Explorer","2.3L EcoBoost / 3.0L V6","2,300 - 3,000 cc","300 - 400 hp","200 km/h","6.0 sec","$35,000 ","Petrol","7","420 - 500 Nm","SUV","22","18"
"527","Ford","Expedition","3.5L EcoBoost / 5.4L V8","3,500 - 5,400 cc","375 - 400 hp","180 km/h","6.5 sec","$50,000 ","Petrol","8","650 - 800 Nm","SUV","19","28"
"528","Ford","Bronco","2.3L EcoBoost / 2.7L V6","2,300 - 2,700 cc","275 - 310 hp","200 km/h","7.5 sec","$30,000 ","Petrol","4","400 - 600 Nm","SUV","20","16"
"529","Ford","Bronco Sport","1.5L EcoBoost / 2.0L EcoBoost","1,500 - 2,000 cc","181 - 250 hp","185 km/h","7.0 sec","$26,000 ","Petrol","5","250 - 375 Nm","SUV","26","16"
"530","Ford","F-150","3.3L V6 / 5.0L V8 / 3.5L EcoBoost","3,300 - 5,000 cc","290 - 450 hp","200 km/h","5.0 - 6.5 sec","$35,000 ","Petrol","5","400 - 700 Nm","Truck","20","23"
"531","Ford","F-250 Super Duty","6.2L V8 / 7.3L V8 / 6.7L Turbo-Diesel","6,200 - 7,300 cc","385 - 475 hp","180 km/h","6.5 - 7.0 sec","$40,000 ","Petrol","5","700 - 1,050 Nm","Truck","15","34"
"532","Ford","F-350 Super Duty","6.7L Turbo-Diesel / 7.3L V8","6,700 - 7,300 cc","450 - 475 hp","180 km/h","7.0 - 8.0 sec","$45,000 ","Diesel","5","1,050 - 1,200 Nm","Truck","14","34"
"533","Ford","Maverick","2.5L Hybrid / 2.0L EcoBoost","2,500 - 2,000 cc","191 - 250 hp","180 km/h","6.5 - 8.0 sec","$22,000 ","Hybrid","5","250 - 380 Nm","Truck","27","13"
"534","Ford","Ranger","2.3L Turbo Inline-4 / 2.7L V6","2,300 - 2,700 cc","270 - 325 hp","180 km/h","6.0 - 7.0 sec","$25,000 ","Petrol","5","400 - 540 Nm","Truck","23","18"
